Emotion,Exp_ID,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,filler_type,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,IMDF_scanner,957.jpg,neutral_695.jpg,,9999,91,red,FILLER,IMDF_scanner,yes,first,93,9999,125,5,4,TBF,9999,1
neg,IMDF_scanner,987.jpg,6213.jpg,,9999,94,red,FILLER,IMDF_scanner,yes,first,9999,94,128,5,4,TBF,9999,2
neu,IMDF_scanner,145.jpg,neutral_125.jpg,1,43,9999,green,TBR_neu,IMDF_scanner,no,,43,9999,13,1,4,TBR,one,3
neu,IMDF_scanner,24.jpg,neutral_224.jpg,1,60,9999,green,TBR_neu,IMDF_scanner,no,,60,9999,30,1,4,TBR,two,4
neu,IMDF_scanner,161.jpg,neutral_416.jpg,1,48,9999,green,TBR_neu,IMDF_scanner,no,,48,9999,18,1,4,TBR,two,5
neg,IMDF_scanner,79.jpg,Objects_109_h.jpg,1,9999,66,red,TBF_neg,IMDF_scanner,no,,9999,66,96,4,4,TBF,one,6
neg,IMDF_scanner,406.jpg,H044.bmp,1,89,9999,red,TBF_neg,IMDF_scanner,no,,9999,59,59,2,4,TBF,two,7
neg,IMDF_scanner,845.jpg,Animals_013_h.jpg,1,9999,71,green,TBR_neg,IMDF_scanner,no,,9999,71,101,4,4,TBR,one,8
neu,IMDF_scanner,130.jpg,neutral_504.jpg,1,39,9999,red,TBF_neu,IMDF_scanner,no,,39,9999,9,1,4,TBF,one,9
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,10
neg,IMDF_scanner,769.jpg,People_198_h.jpg,1,9999,64,green,TBR_neg,IMDF_scanner,no,,9999,64,94,4,4,TBR,one,11
neg,IMDF_scanner,75.jpg,Animals_065_h.jpg,1,9999,62,red,TBF_neg,IMDF_scanner,no,,9999,62,92,4,4,TBF,one,12
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,13
neg,IMDF_scanner,926.jpg,Animals_073_h.jpg,1,9999,87,green,TBR_neg,IMDF_scanner,no,,9999,87,117,4,4,TBR,two,14
neu,IMDF_scanner,196.jpg,neutral_067.jpg,1,54,9999,red,TBF_neu,IMDF_scanner,no,,54,9999,24,1,4,TBF,two,15
neu,IMDF_scanner,674.jpg,neutral_196.jpg,1,9999,55,red,TBF_neu,IMDF_scanner,no,,85,9999,85,3,4,TBF,two,16
neg,IMDF_scanner,38.jpg,6300.jpg,1,85,9999,green,TBR_neg,IMDF_scanner,no,,9999,55,55,2,4,TBR,two,17
neu,IMDF_scanner,731.jpg,neutral_244.jpg,1,9999,60,red,TBF_neu,IMDF_scanner,no,,90,9999,90,3,4,TBF,two,18
neu,IMDF_scanner,55.jpg,neutral_620.jpg,1,9999,50,green,TBR_neu,IMDF_scanner,no,,80,9999,80,3,4,TBR,two,19
neg,IMDF_scanner,353.jpg,Objects_145_h.jpg,1,79,9999,green,TBR_neg,IMDF_scanner,no,,9999,49,49,2,4,TBR,two,20
neg,IMDF_scanner,895.jpg,Objects_003_h.jpg,1,9999,78,green,TBR_neg,IMDF_scanner,no,,9999,78,108,4,4,TBR,two,21
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,22
neg,IMDF_scanner,391.jpg,blood_034.jpg,1,87,9999,red,TBF_neg,IMDF_scanner,no,,9999,57,57,2,4,TBF,two,23
neu,IMDF_scanner,421.jpg,neutral_131.jpg,1,9999,32,green,TBR_neu,IMDF_scanner,no,,62,9999,62,3,4,TBR,one,24
neu,IMDF_scanner,41.jpg,neutral_130.jpg,1,9999,31,green,TBR_neu,IMDF_scanner,no,,61,9999,61,3,4,TBR,one,25
neg,IMDF_scanner,802.jpg,Objects_126_h.jpg,1,9999,67,green,TBR_neg,IMDF_scanner,no,,9999,67,97,4,4,TBR,one,26
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,27
neu,IMDF_scanner,460.jpg,neutral_591.jpg,1,9999,38,green,TBR_neu,IMDF_scanner,no,,68,9999,68,3,4,TBR,one,28
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,29
neu,IMDF_scanner,6.jpg,neutral_193.jpg,1,9999,53,green,TBR_neu,IMDF_scanner,no,,83,9999,83,3,4,TBR,two,30
neu,IMDF_scanner,453.jpg,neutral_588.jpg,1,9999,37,red,TBF_neu,IMDF_scanner,no,,67,9999,67,3,4,TBF,one,31
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,32
neg,IMDF_scanner,836.jpg,People_233_h.jpg,1,9999,70,green,TBR_neg,IMDF_scanner,no,,9999,70,100,4,4,TBR,one,33
neu,IMDF_scanner,675.jpg,neutral_598.jpg,1,9999,56,red,TBF_neu,IMDF_scanner,no,,86,9999,86,3,4,TBF,two,34
neu,IMDF_scanner,72.jpg,neutral_240.jpg,1,9999,58,green,TBR_neu,IMDF_scanner,no,,88,9999,88,3,4,TBR,two,35
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,36
neg,IMDF_scanner,896.jpg,People_003_h.jpg,1,9999,79,red,TBF_neg,IMDF_scanner,no,,9999,79,109,4,4,TBF,two,37
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,38
neg,IMDF_scanner,307.jpg,Animals_001_h.jpg,1,71,9999,red,TBF_neg,IMDF_scanner,no,,9999,41,41,2,4,TBF,one,39
neg,IMDF_scanner,82.jpg,People_217_h.jpg,1,9999,69,red,TBF_neg,IMDF_scanner,no,,9999,69,99,4,4,TBF,one,40
neg,IMDF_scanner,848.jpg,Animals_060_h.jpg,1,9999,72,green,TBR_neg,IMDF_scanner,no,,9999,72,102,4,4,TBR,one,41
neu,IMDF_scanner,152.jpg,neutral_171.jpg,1,45,9999,red,TBF_neu,IMDF_scanner,no,,45,9999,15,1,4,TBF,one,42
neg,IMDF_scanner,317.jpg,Faces_034_h.jpg,1,75,9999,green,TBR_neg,IMDF_scanner,no,,9999,45,45,2,4,TBR,one,43
neg,IMDF_scanner,877.jpg,Faces_283_h.jpg,1,9999,76,red,TBF_neg,IMDF_scanner,no,,9999,76,106,4,4,TBF,two,44
neg,IMDF_scanner,332.jpg,Landscapes_025_h.jpg,1,78,9999,red,TBF_neg,IMDF_scanner,no,,9999,48,48,2,4,TBF,two,45
neu,IMDF_scanner,48.jpg,neutral_497.jpg,1,9999,42,green,TBR_neu,IMDF_scanner,no,,72,9999,72,3,4,TBR,one,46
neu,IMDF_scanner,45.jpg,neutral_270.jpg,1,9999,35,green,TBR_neu,IMDF_scanner,no,,65,9999,65,3,4,TBR,one,47
neg,IMDF_scanner,312.jpg,Animals_025_h.jpg,1,72,9999,green,TBR_neg,IMDF_scanner,no,,9999,42,42,2,4,TBR,one,48
neu,IMDF_scanner,181.jpg,neutral_060.jpg,1,52,9999,red,TBF_neu,IMDF_scanner,no,,52,9999,22,1,4,TBF,two,49
neu,IMDF_scanner,116.jpg,neutral_073.jpg,1,35,9999,red,TBF_neu,IMDF_scanner,no,,35,9999,5,1,4,TBF,one,50
neg,IMDF_scanner,897.jpg,People_147_h.jpg,1,9999,80,green,TBR_neg,IMDF_scanner,no,,9999,80,110,4,4,TBR,two,51
neu,IMDF_scanner,106.jpg,neutral_057.jpg,1,33,9999,red,TBF_neu,IMDF_scanner,no,,33,9999,3,1,4,TBF,one,52
neu,IMDF_scanner,159.jpg,neutral_370.jpg,1,47,9999,green,TBR_neu,IMDF_scanner,no,,47,9999,17,1,4,TBR,two,53
neu,IMDF_scanner,121.jpg,neutral_394.jpg,1,37,9999,red,TBF_neu,IMDF_scanner,no,,37,9999,7,1,4,TBF,one,54
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,55
neu,IMDF_scanner,47.jpg,neutral_671.jpg,1,9999,40,green,TBR_neu,IMDF_scanner,no,,70,9999,70,3,4,TBR,one,56
None,IMDF_scanner,,,1,,,None,NULL,IMDF_scanner,,,,,9999,,4,None,,57
neg,IMDF_scanner,87.jpg,Faces_028_h.jpg,1,9999,74,green,TBR_neg,IMDF_scanner,no,,9999,74,104,4,4,TBR,one,58
