Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neg,981.jpg,People_133_h.jpg,,9999,93,red,TBFnegFILLER,IMDF_scanner,yes,9999,93,127,5,49,TBF,9999,1
neu,957.jpg,neutral_695.jpg,,9999,91,green,TBFneuFILLER,IMDF_scanner,yes,93,9999,125,5,49,TBR,9999,2
neu,24.jpg,neutral_224.jpg,1,60,9999,red,TBF_neu,IMDF_scanner,no,60,9999,30,1,49,TBF,two,3
neg,313.jpg,People_226_h.jpg,1,73,9999,red,TBF_neg,IMDF_scanner,no,9999,43,43,2,49,TBF,one,4
neg,353.jpg,Objects_145_h.jpg,1,79,9999,red,TBF_neg,IMDF_scanner,no,9999,49,49,2,49,TBF,two,5
neg,845.jpg,Animals_013_h.jpg,1,9999,71,green,TBR_neg,IMDF_scanner,no,9999,71,101,4,49,TBR,one,6
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,7
neg,769.jpg,People_198_h.jpg,1,9999,64,red,TBF_neg,IMDF_scanner,no,9999,64,94,4,49,TBF,one,8
neg,409.jpg,9630.jpg,1,90,9999,red,TBF_neg,IMDF_scanner,no,9999,60,60,2,49,TBF,two,9
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,10
neu,460.jpg,neutral_591.jpg,1,9999,38,green,TBR_neu,IMDF_scanner,no,68,9999,68,3,49,TBR,one,11
neu,20.jpg,neutral_223.jpg,1,55,9999,red,TBF_neu,IMDF_scanner,no,55,9999,25,1,49,TBF,two,12
neu,453.jpg,neutral_588.jpg,1,9999,37,red,TBF_neu,IMDF_scanner,no,67,9999,67,3,49,TBF,one,13
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,14
neg,848.jpg,Animals_060_h.jpg,1,9999,72,green,TBR_neg,IMDF_scanner,no,9999,72,102,4,49,TBR,one,15
neu,51.jpg,neutral_538.jpg,1,9999,46,red,TBF_neu,IMDF_scanner,no,76,9999,76,3,49,TBF,two,16
neg,9.jpg,6370.jpg,1,9999,81,green,TBR_neg,IMDF_scanner,no,9999,81,111,4,49,TBR,two,17
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,18
neu,55.jpg,neutral_620.jpg,1,9999,50,red,TBF_neu,IMDF_scanner,no,80,9999,80,3,49,TBF,two,19
neu,450.jpg,neutral_276.jpg,1,9999,36,green,TBR_neu,IMDF_scanner,no,66,9999,66,3,49,TBR,one,20
neg,321.jpg,Faces_302_h.jpg,1,77,9999,green,TBR_neg,IMDF_scanner,no,9999,47,47,2,49,TBR,two,21
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,22
neg,316.jpg,Faces_019_h.jpg,1,74,9999,green,TBR_neg,IMDF_scanner,no,9999,44,44,2,49,TBR,one,23
neg,312.jpg,Animals_025_h.jpg,1,72,9999,red,TBF_neg,IMDF_scanner,no,9999,42,42,2,49,TBF,one,24
neu,184.jpg,neutral_063.jpg,1,53,9999,red,TBF_neu,IMDF_scanner,no,53,9999,23,1,49,TBF,two,25
neg,4.jpg,Faces_274_h.jpg,1,88,9999,green,TBR_neg,IMDF_scanner,no,9999,58,58,2,49,TBR,two,26
neu,202.jpg,neutral_667.jpg,1,57,9999,green,TBR_neu,IMDF_scanner,no,57,9999,27,1,49,TBR,two,27
neu,140.jpg,neutral_121.jpg,1,42,9999,red,TBF_neu,IMDF_scanner,no,42,9999,12,1,49,TBF,one,28
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,29
neg,268.jpg,Objects_088_h.jpg,1,66,9999,red,TBF_neg,IMDF_scanner,no,9999,36,36,2,49,TBF,one,30
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,31
neg,947.jpg,Objects_001_h.jpg,1,9999,90,red,TBF_neg,IMDF_scanner,no,9999,90,120,4,49,TBF,two,32
neg,920.jpg,9425.jpg,1,9999,86,red,TBF_neg,IMDF_scanner,no,9999,86,116,4,49,TBF,two,33
neg,276.jpg,Objects_125_h.jpg,1,67,9999,red,TBF_neg,IMDF_scanner,no,9999,37,37,2,49,TBF,one,34
neu,161.jpg,neutral_416.jpg,1,48,9999,green,TBR_neu,IMDF_scanner,no,48,9999,18,1,49,TBR,two,35
neu,724.jpg,neutral_242.jpg,1,9999,59,red,TBF_neu,IMDF_scanner,no,89,9999,89,3,49,TBF,two,36
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,37
neg,372.jpg,2692.jpg,1,82,9999,green,TBR_neg,IMDF_scanner,no,9999,52,52,2,49,TBR,two,38
neu,72.jpg,neutral_240.jpg,1,9999,58,green,TBR_neu,IMDF_scanner,no,88,9999,88,3,49,TBR,two,39
neg,366.jpg,1930.jpg,1,81,9999,red,TBF_neg,IMDF_scanner,no,9999,51,51,2,49,TBF,two,40
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,41
neu,23.jpg,neutral_104.jpg,1,58,9999,red,TBF_neu,IMDF_scanner,no,58,9999,28,1,49,TBF,two,42
neu,49.jpg,neutral_499.jpg,1,9999,43,red,TBF_neu,IMDF_scanner,no,73,9999,73,3,49,TBF,one,43
neu,538.jpg,neutral_560.jpg,1,9999,47,red,TBF_neu,IMDF_scanner,no,77,9999,77,3,49,TBF,two,44
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,45
neg,932.jpg,Faces_272_h.jpg,1,9999,88,red,TBF_neg,IMDF_scanner,no,9999,88,118,4,49,TBF,two,46
neu,6.jpg,neutral_193.jpg,1,9999,53,green,TBR_neu,IMDF_scanner,no,83,9999,83,3,49,TBR,two,47
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,49,None,,48
neu,113.jpg,neutral_069.jpg,1,34,9999,green,TBR_neu,IMDF_scanner,no,34,9999,4,1,49,TBR,one,49
neg,32.jpg,Faces_172_h.jpg,1,76,9999,red,TBF_neg,IMDF_scanner,no,9999,46,46,2,49,TBF,two,50
neu,152.jpg,neutral_171.jpg,1,45,9999,green,TBR_neu,IMDF_scanner,no,45,9999,15,1,49,TBR,one,51
neg,280.jpg,Objects_206_h.jpg,1,68,9999,red,TBF_neg,IMDF_scanner,no,9999,38,38,2,49,TBF,one,52
neg,332.jpg,Landscapes_025_h.jpg,1,78,9999,green,TBR_neg,IMDF_scanner,no,9999,48,48,2,49,TBR,two,53
neu,200.jpg,neutral_198.jpg,1,56,9999,red,TBF_neu,IMDF_scanner,no,56,9999,26,1,49,TBF,two,54
