Emotion,NT_ID,Object,Scene,Set_ID,T_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,pair_ID,pp_ID,repetition,think_condition,trial_count
neu,74,pingpongracket.jpg,neutral_053.jpg,,9999,green,TneuFILLER,TNT_scanner,yes,9999,74,97,filler,35,one,T,1
neg,9999,brick.jpg,Objects_106_vdisgust.jpg,,75,red,NTnegFILLER,TNT_scanner,yes,75,999,100,filler,35,one,NT,2
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,35,one,None,3
neu,9999,binder03b.jpg,neutral_512.jpg,1,33,green,T_neu,TNT_scanner,no,57,9999,56,32,35,one,T,4
neg,9999,plasticflower01a.jpg,6550_people_fear.jpg,1,58,red,NT_neg,TNT_scanner,no,9999,58,81,45,35,one,NT,5
neu,36,chair.jpg,neutral_144.jpg,1,9999,red,NT_neu,TNT_scanner,no,36,9999,11,11,35,one,NT,6
neg,9999,mirror.jpg,2981_animal_disgust.jpg,1,55,green,T_neg,TNT_scanner,no,9999,55,78,42,35,one,T,7
neu,9999,birdie.jpg,neutral_614.jpg,1,37,green,T_neu,TNT_scanner,no,61,9999,60,36,35,one,T,8
neu,33,fan.jpg,neutral_706.jpg,1,9999,green,T_neu,TNT_scanner,no,33,9999,8,8,35,one,T,9
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,35,one,None,10
neg,9999,measuringcup01.jpg,2811_object_fear.jpg,1,61,green,T_neg,TNT_scanner,no,9999,61,84,48,35,one,T,11
neg,54,box01.jpg,2900.1_people_crying.jpg,1,9999,green,T_neg,TNT_scanner,no,9999,30,29,17,35,one,T,12
neu,9999,pencilsharpener02a.jpg,neutral_022.jpg,1,34,red,NT_neu,TNT_scanner,no,58,9999,57,33,35,one,NT,13
neg,57,pictureframe04.jpg,9433_people-disgust.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,33,32,20,35,one,NT,14
neg,50,thimble.jpg,Objects_021_vdisgust.jpg,1,9999,red,NT_neg,TNT_scanner,no,9999,26,25,13,35,one,NT,15
None,,,,1,,None,NULL,TNT_scanner,,,,9999,,35,one,None,16
neu,9999,hinge.jpg,neutral_582.jpg,1,30,red,NT_neu,TNT_scanner,no,54,9999,53,29,35,one,NT,17
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,35,one,None,18
neu,9999,shirt01.jpg,neutral_007.jpg,2,28,red,NT_neu,TNT_scanner,no,52,9999,51,27,35,one,NT,19
neu,34,lock03a.jpg,neutral_659.jpg,2,9999,green,T_neu,TNT_scanner,no,34,9999,9,9,35,one,T,20
neg,9999,glassmop.jpg,9440_object_disgustandfear.jpg,2,53,green,T_neg,TNT_scanner,no,9999,53,76,40,35,one,T,21
neg,55,safetypin.jpg,8480_people_fear.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,31,30,18,35,one,NT,22
neu,9999,battery02b.jpg,neutral_509.jpg,2,31,red,NT_neu,TNT_scanner,no,55,9999,54,30,35,one,NT,23
neg,60,towel02a.jpg,Objects_006_hdisgust.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,36,35,23,35,one,NT,24
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,35,one,None,25
neu,26,hat03b.jpg,neutral_017.jpg,2,9999,red,NT_neu,TNT_scanner,no,26,9999,1,1,35,one,NT,26
neu,9999,cup01.jpg,neutral_195.jpg,2,35,green,T_neu,TNT_scanner,no,59,9999,58,34,35,one,T,27
neg,53,calculator01.jpg,6520_people_fear.jpg,2,9999,red,NT_neg,TNT_scanner,no,9999,29,28,16,35,one,NT,28
neu,28,belt02a.jpg,neutral_293.jpg,2,9999,green,T_neu,TNT_scanner,no,28,9999,3,3,35,one,T,29
neg,9999,dice05a.jpg,9050_people_accideNT.jpg,2,56,green,T_neg,TNT_scanner,no,9999,56,79,43,35,one,T,30
neg,9999,pillow02b.jpg,2700._people_crying_sad.jpg,2,57,green,T_neg,TNT_scanner,no,9999,57,80,44,35,one,T,31
None,,,,2,,None,NULL,TNT_scanner,,,,9999,,35,one,None,32
neg,9999,stapler03a.jpg,People_001_hsadterror.jpg,3,54,red,NT_neg,TNT_scanner,no,9999,54,77,41,35,one,NT,33
neu,9999,stackingrings01a.jpg,neutral_246.jpg,3,29,green,T_neu,TNT_scanner,no,53,9999,52,28,35,one,T,34
neu,9999,lifejacket.jpg,neutral_247.jpg,3,36,red,NT_neu,TNT_scanner,no,60,9999,59,35,35,one,NT,35
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,35,one,None,36
neu,9999,watch02a.jpg,neutral_380.jpg,3,32,green,T_neu,TNT_scanner,no,56,9999,55,31,35,one,T,37
neg,9999,ruler05.jpg,1201_animal_fearanddisgust.jpg,3,50,red,NT_neg,TNT_scanner,no,9999,50,73,37,35,one,NT,38
neg,59,measuringtape01.jpg,Faces_363_vsad.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,35,34,22,35,one,T,39
neg,58,globe.jpg,People_201_vsadterror.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,34,33,21,35,one,T,40
neu,35,chessboard.jpg,neutral_227.jpg,3,9999,red,NT_neu,TNT_scanner,no,35,9999,10,10,35,one,NT,41
neu,32,ring01.jpg,neutral_226.jpg,3,9999,green,T_neu,TNT_scanner,no,32,9999,7,7,35,one,T,42
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,35,one,None,43
neu,29,toothbrush03b.jpg,neutral_390.jpg,3,9999,red,NT_neu,TNT_scanner,no,29,9999,4,4,35,one,NT,44
neg,51,binoculars01b.jpg,Animals_221_hdisgustfear.jpg,3,9999,green,T_neg,TNT_scanner,no,9999,27,26,14,35,one,T,45
neg,9999,boot02b.jpg,Objects_328_hdisgust.jpg,3,51,red,NT_neg,TNT_scanner,no,9999,51,74,38,35,one,NT,46
None,,,,3,,None,NULL,TNT_scanner,,,,9999,,35,one,None,47
neg,9999,hanger02a.jpg,People_077_vfear.jpg,4,59,green,T_neg,TNT_scanner,no,9999,59,82,46,35,one,T,48
neg,9999,book01b.jpg,9412_people_sad.jpg,4,52,red,NT_neg,TNT_scanner,no,9999,52,75,39,35,one,NT,49
neu,9999,pylon.jpg,neutral_065.jpg,4,26,red,NT_neu,TNT_scanner,no,50,9999,49,25,35,one,NT,50
neg,52,key01.jpg,1033_animal_fearanddisgust.jpg,4,9999,green,T_neg,TNT_scanner,no,9999,28,27,15,35,one,T,51
neg,61,wallet04.jpg,People_140_hsad.jpg,4,9999,red,NT_neg,TNT_scanner,no,9999,37,36,24,35,one,NT,52
neu,30,radio02.jpg,neutral_331.jpg,4,9999,green,T_neu,TNT_scanner,no,30,9999,5,5,35,one,T,53
None,,,,4,,None,NULL,TNT_scanner,,,,9999,,35,one,None,54
neu,9999,bow04.jpg,neutral_128.jpg,4,27,red,NT_neu,TNT_scanner,no,51,9999,50,26,35,one,NT,55
