Emotion,Object,Scene,Trial_ID,distractor_object_1,distractor_object_2
neu,957.jpg,neutral_695.jpg,filler,952.jpg,950.jpg
neu,950.jpg,neutral_261.jpg,filler,975.jpg,957.jpg
neu,24.jpg,neutral_224.jpg,30,123.jpg,106.jpg
neu,159.jpg,neutral_370.jpg,17,200.jpg,41.jpg
neu,138.jpg,neutral_119.jpg,11,453.jpg,421.jpg
neg,897.jpg,People_147_h.jpg,110,942.jpg,391.jpg
neg,312.jpg,Animals_025_h.jpg,42,926.jpg,32.jpg
neg,305.jpg,People_223_h.jpg,40,870.jpg,268.jpg
neu,435.jpg,neutral_188.jpg,63,506.jpg,161.jpg
neg,920.jpg,9425.jpg,116,932.jpg,361.jpg
neg,848.jpg,Animals_060_h.jpg,102,917.jpg,748.jpg
neg,86.jpg,Faces_007_h.jpg,103,87.jpg,4.jpg
neu,196.jpg,neutral_067.jpg,24,170.jpg,130.jpg
neu,181.jpg,neutral_060.jpg,22,48.jpg,731.jpg
neu,450.jpg,neutral_276.jpg,66,181.jpg,724.jpg
neg,313.jpg,People_226_h.jpg,43,267.jpg,38.jpg
neu,49.jpg,neutral_499.jpg,73,24.jpg,138.jpg
neu,453.jpg,neutral_588.jpg,67,20.jpg,202.jpg
neg,981.jpg,People_133_h.jpg,filler,987.jpg,954.jpg
neu,421.jpg,neutral_131.jpg,62,234.jpg,450.jpg
neg,25.jpg,Animals_078_h.jpg,33,809.jpg,245.jpg
neg,90.jpg,6555.jpg,112,316.jpg,79.jpg
neu,668.jpg,neutral_194.jpg,84,460.jpg,55.jpg
neu,446.jpg,neutral_201.jpg,64,138.jpg,24.jpg
neg,38.jpg,6300.jpg,55,802.jpg,317.jpg
neu,151.jpg,neutral_132.jpg,14,102.jpg,156.jpg
neg,748.jpg,Animals_018_h.jpg,91,372.jpg,305.jpg
neu,118.jpg,neutral_096.jpg,6,731.jpg,173.jpg
neu,130.jpg,neutral_504.jpg,9,41.jpg,553.jpg
neg,809.jpg,People_058_h.jpg,98,895.jpg,802.jpg
neg,769.jpg,People_198_h.jpg,94,406.jpg,895.jpg
neu,975.jpg,neutral_707.jpg,filler,950.jpg,952.jpg
neg,942.jpg,H123.bmp,119,916.jpg,920.jpg
neu,460.jpg,neutral_591.jpg,68,450.jpg,6.jpg
neg,932.jpg,Faces_272_h.jpg,118,246.jpg,779.jpg
neg,916.jpg,9423.jpg,114,317.jpg,276.jpg
neu,106.jpg,neutral_057.jpg,3,161.jpg,45.jpg
neg,877.jpg,Faces_283_h.jpg,106,245.jpg,86.jpg
neu,952.jpg,neutral_673.jpg,filler,957.jpg,975.jpg
neu,152.jpg,neutral_171.jpg,15,196.jpg,121.jpg
neu,200.jpg,neutral_198.jpg,26,118.jpg,51.jpg
neg,332.jpg,Landscapes_025_h.jpg,48,877.jpg,267.jpg
neg,373.jpg,6210.jpg,53,79.jpg,321.jpg
neu,113.jpg,neutral_069.jpg,4,668.jpg,152.jpg
neg,361.jpg,People_210_h.jpg,50,900.jpg,884.jpg
neu,10.jpg,neutral_001.jpg,1,461.jpg,453.jpg
neg,75.jpg,Animals_065_h.jpg,92,366.jpg,372.jpg
neu,102.jpg,neutral_003.jpg,2,202.jpg,140.jpg
neg,353.jpg,Objects_145_h.jpg,49,313.jpg,917.jpg
neg,79.jpg,Objects_109_h.jpg,96,353.jpg,373.jpg
neg,406.jpg,H044.bmp,59,920.jpg,82.jpg
neu,41.jpg,neutral_130.jpg,61,538.jpg,166.jpg
neu,140.jpg,neutral_121.jpg,12,151.jpg,170.jpg
neg,409.jpg,9630.jpg,60,312.jpg,281.jpg
neg,246.jpg,Animals_062_h.jpg,32,748.jpg,897.jpg
neg,845.jpg,Animals_013_h.jpg,101,884.jpg,25.jpg
neu,51.jpg,neutral_538.jpg,76,446.jpg,151.jpg
neg,245.jpg,Animals_033_h.jpg,31,897.jpg,409.jpg
neg,836.jpg,People_233_h.jpg,100,75.jpg,280.jpg
neu,173.jpg,neutral_290.jpg,21,674.jpg,50.jpg
neg,87.jpg,Faces_028_h.jpg,104,4.jpg,76.jpg
neu,166.jpg,neutral_422.jpg,19,435.jpg,674.jpg
neu,45.jpg,neutral_270.jpg,65,23.jpg,435.jpg
neg,884.jpg,Landscapes_002_h.jpg,107,779.jpg,845.jpg
neg,366.jpg,1930.jpg,51,257.jpg,353.jpg
neu,48.jpg,neutral_497.jpg,72,51.jpg,196.jpg
neu,123.jpg,neutral_461.jpg,8,476.jpg,234.jpg
neg,802.jpg,Objects_126_h.jpg,97,86.jpg,332.jpg
