Emotion,Exp_ID,Object,Scene,Trial_ID,distractor_1,distractor_2,filler_type
neu,IMDF_memory_postscan,950.jpg,neutral_261.jpg,filler,975.jpg,952.jpg,first
neg,IMDF_memory_postscan,987.jpg,6213.jpg,filler,953.jpg,981.jpg,first
neg,IMDF_memory_postscan,896.jpg,People_003_h.jpg,109,361.jpg,268.jpg,
neg,IMDF_memory_postscan,313.jpg,People_226_h.jpg,43,86.jpg,307.jpg,
neg,IMDF_memory_postscan,917.jpg,9424.jpg,115,920.jpg,312.jpg,
neu,IMDF_memory_postscan,538.jpg,neutral_560.jpg,77,113.jpg,435.jpg,
neu,IMDF_memory_postscan,560.jpg,neutral_148.jpg,82,130.jpg,20.jpg,
neg,IMDF_memory_postscan,769.jpg,People_198_h.jpg,94,87.jpg,9.jpg,
neg,IMDF_memory_postscan,25.jpg,Animals_078_h.jpg,33,245.jpg,32.jpg,
neg,IMDF_memory_postscan,38.jpg,6300.jpg,55,276.jpg,917.jpg,
neu,IMDF_memory_postscan,161.jpg,neutral_416.jpg,18,476.jpg,138.jpg,
neu,IMDF_memory_postscan,140.jpg,neutral_121.jpg,12,538.jpg,24.jpg,
neu,IMDF_memory_postscan,460.jpg,neutral_591.jpg,68,132.jpg,10.jpg,
neg,IMDF_memory_postscan,276.jpg,Objects_125_h.jpg,37,82.jpg,845.jpg,
neu,IMDF_memory_postscan,151.jpg,neutral_132.jpg,14,421.jpg,116.jpg,
neu,IMDF_memory_postscan,453.jpg,neutral_588.jpg,67,461.jpg,121.jpg,
neg,IMDF_memory_postscan,372.jpg,2692.jpg,52,373.jpg,257.jpg,
neu,IMDF_memory_postscan,48.jpg,neutral_497.jpg,72,49.jpg,461.jpg,
neg,IMDF_memory_postscan,406.jpg,H044.bmp,59,305.jpg,87.jpg,
neu,IMDF_memory_postscan,461.jpg,neutral_638.jpg,69,145.jpg,45.jpg,
neg,IMDF_memory_postscan,246.jpg,Animals_062_h.jpg,32,38.jpg,316.jpg,
neg,IMDF_memory_postscan,947.jpg,Objects_001_h.jpg,120,848.jpg,281.jpg,
neg,IMDF_memory_postscan,312.jpg,Animals_025_h.jpg,42,382.jpg,4.jpg,
neu,IMDF_memory_postscan,202.jpg,neutral_667.jpg,27,41.jpg,166.jpg,
neu,IMDF_memory_postscan,957.jpg,neutral_695.jpg,filler,952.jpg,950.jpg,middle
neg,IMDF_memory_postscan,305.jpg,People_223_h.jpg,40,947.jpg,76.jpg,
