"Emotion","Exp_ID","IMDFblankISI_jitter","NT_ID","Object","Scene","Set_ID","TBF_ID","TBR_ID","TNTfixation_jitter","T_ID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color","color_backend","compensation","condition","coordinates","correct","correct_TNT_fMRI_instruct","correct_TNT_fMRI_intrusionrating_response","correct_refresher_instruct","correct_standby","count_BREAK","count_CHANGELOG","count_IMDF_fMRI_NULL","count_IMDF_fMRI_blankISI","count_IMDF_fMRI_blockloop","count_IMDF_fMRI_blockloop_practice","count_IMDF_fMRI_fixation","count_IMDF_fMRI_instruct","count_IMDF_fMRI_jitterblankISIscript","count_IMDF_fMRI_scene","count_IMDF_fMRI_sceneobject","count_IMDF_fMRI_trialsequence","count_IMDF_fMRI_trialsequence_practice","count_IMDF_instruct","count_IMDF_practice_instruct","count_Questions_for_CVS","count_TNTF_fMRI","count_TNTF_fMRI_blocksequence","count_TNTF_fMRI_jitteredfixationscript","count_TNT_fMRI_NULL","count_TNT_fMRI_blockloop","count_TNT_fMRI_cue","count_TNT_fMRI_instruct","count_TNT_fMRI_intrusionrating","count_TNT_fMRI_intrusionrating_response","count_TNT_fMRI_jitteredfixation","count_TNT_fMRI_trialsequence","count_add_timeremaining","count_blank_before_t_presses","count_calculate_time_remaining","count_define_constants","count_determine_end_run","count_determine_instruction","count_experiment","count_fixation","count_logger","count_new_logger","count_pair","count_pulse","count_refresher_block_loop","count_refresher_instruct","count_refresher_trial_sequence","count_scaling_factors","count_standby","count_todo_new","count_wait","count_wait_pulse","datetime","description","disable_garbage_collection","empty_column","end_x_fixationline","end_y_fixationline","exp_ID","experiment_file","experiment_path","filler","filler_type","fixationdimension","fixationwidth","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","instruction_msg","keyboard_backend","live_row","live_row_TNTF_fMRI","live_row_TNT_fMRI_blockloop","logfile","main_run","mouse_backend","neg_ID","neu_ID","null_ID","opensesame_codename","opensesame_version","order","pair_ID","pp_ID","psychopy_screen","psychopy_waitblanking","remember_condition","repeat_cycle","repetition","response","response_BREAK","response_IMDF_instruct","response_IMDF_practice_instruct","response_TNT_fMRI_instruct","response_TNT_fMRI_intrusionrating_response","response_refresher_instruct","response_standby","response_time","response_time_BREAK","response_time_IMDF_instruct","response_time_IMDF_practice_instruct","response_time_TNT_fMRI_instruct","response_time_TNT_fMRI_intrusionrating_response","response_time_refresher_instruct","response_time_standby","round_decimals","run_ended","sampler_backend","scale_object_IMDF","scale_object_cue","scale_object_refesher","scale_scene_IMDF","scale_scene_refresher","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_x_fixationline","start_y_fixationline","subject_nr","subject_parity","think_condition","time_BREAK","time_CHANGELOG","time_IMDF_fMRI_NULL","time_IMDF_fMRI_blankISI","time_IMDF_fMRI_blockloop","time_IMDF_fMRI_blockloop_practice","time_IMDF_fMRI_fixation","time_IMDF_fMRI_instruct","time_IMDF_fMRI_jitterblankISIscript","time_IMDF_fMRI_scene","time_IMDF_fMRI_sceneobject","time_IMDF_fMRI_trialsequence","time_IMDF_fMRI_trialsequence_practice","time_IMDF_instruct","time_IMDF_practice_instruct","time_Questions_for_CVS","time_TNTF_fMRI","time_TNTF_fMRI_blocksequence","time_TNTF_fMRI_jitteredfixationscript","time_TNT_fMRI_NULL","time_TNT_fMRI_blockloop","time_TNT_fMRI_cue","time_TNT_fMRI_instruct","time_TNT_fMRI_intrusionrating","time_TNT_fMRI_intrusionrating_response","time_TNT_fMRI_jitteredfixation","time_TNT_fMRI_trialsequence","time_add_timeremaining","time_blank_before_t_presses","time_calculate_time_remaining","time_define_constants","time_determine_end_run","time_determine_instruction","time_experiment","time_fixation","time_logger","time_new_logger","time_pair","time_pulse","time_refresher_block_loop","time_refresher_instruct","time_refresher_trial_sequence","time_scaling_factors","time_standby","time_todo_new","time_wait","time_wait_pulse","timeout_keypress","timeremaining","title","total_correct","total_response_time","total_responses","trial_count","uniform_coordinates","width"
"neu","TNT_scanner","NA","74","pingpongracket.jpg","neutral_053.jpg","","NA","NA","2200","9999","undefined","undefined","3000.01700600842","3000.01700600842","black","yes","psycho","psycho","green","psycho","0","FILLER","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","NA","NA","0","0","0","NA","0","0","0","NA","NA","3","0","0","NA","0","5","0","1","3","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","yes","first","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","0","0","0","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","74","97","Lentiform Loewenfeld","3.3.9b1","NA","filler","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.01700600842","NA","NA","NA","455.0347249896731","3000.01700600842","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","12987.01291299949","NA","12946.29786600126","15296.928134994232","10599.490644002799","18318.01535199338","18318.306418994325","13005.490055002156","12986.946899996838","NA","NA","21318.46896999923","7071.771942995838","21318.53829899046","NA","1384.248722999473","7071.747333990061","21318.55940799869","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.01700600842013955","TNT_IMDF_fMRI","0","3000.01700600842","1","1","yes","1024"
"neg","TNT_scanner","NA","75","microscope.jpg","Objects_283_hsad.jpg","","NA","NA","2600","9999","undefined","undefined","3000.0241529924097","3000.0241529924097","black","yes","psycho","psycho","green","psycho","0","FILLER","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","1","NA","0","1","0","1","1","1","1","NA","NA","1","0","1","NA","0","0","1","NA","NA","4","0","0","NA","0","6","0","1","4","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","yes","first","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","1","0","1","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","74","999","98","Lentiform Loewenfeld","3.3.9b1","NA","filler","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0241529924097","NA","NA","NA","455.0347249896731","3000.0241529924097","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","21599.50689499965","NA","12946.29786600126","24297.784818991204","10599.490644002799","27318.465162999928","27318.76537000062","21618.06118299137","21599.434132993338","NA","NA","30318.931343994336","7071.771942995838","30319.001248994027","NA","1384.248722999473","7071.747333990061","30319.01866500266","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.02415299240965396","TNT_IMDF_fMRI","0","3000.0241529924097","1","2","yes","1024"
"neg","TNT_scanner","NA","9999","plasticflower01a.jpg","6550_people_fear.jpg","1","NA","NA","2000","58","undefined","undefined","3000.0201649963856","3000.0201649963856","black","yes","psycho","psycho","green","psycho","0","T_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","2","NA","0","2","0","2","2","2","2","NA","NA","2","0","2","NA","0","0","2","NA","NA","5","0","0","NA","0","7","0","1","5","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","2","0","2","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","58","81","Lentiform Loewenfeld","3.3.9b1","NA","45","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0201649963856","NA","NA","NA","455.0347249896731","3000.0201649963856","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","30490.90298700321","NA","12946.29786600126","32585.726599994814","10599.490644002799","35605.93493099441","35606.20953999751","30509.110137994867","30490.829436996137","NA","NA","38606.366823994904","7071.771942995838","38606.433277003816","NA","1384.248722999473","7071.747333990061","38606.450393999694","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.02016499638557434","TNT_IMDF_fMRI","0","3000.0201649963856","1","3","yes","1024"
"None","TNT_scanner","NA","","","","1","NA","NA","1800","","undefined","undefined","3000.0201649963856","3000.0201649963856","black","yes","psycho","psycho","None","psycho","0","NULL","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","3","0","0","2","0","3","3","3","3","0","NA","3","0","3","NA","0","0","3","NA","NA","6","0","0","NA","0","8","0","1","6","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","3","0","3","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","","","9999","Lentiform Loewenfeld","3.3.9b1","NA","","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","0","NA","NA","NA","455.0347249896731","3000.0201649963856","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","None","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","38834.17075399484","40676.60360899754","12946.29786600126","32585.726599994814","10599.490644002799","35605.93493099441","35606.20953999751","38852.6162969938","38832.61667400075","43701.11022698984","NA","43680.27729999449","7071.771942995838","46704.732566999155","NA","1384.248722999473","7071.747333990061","46704.75959399482","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","3000","TNT_IMDF_fMRI","0","3000.0201649963856","1","4","yes","1024"
"neg","TNT_scanner","NA","52","key01.jpg","1033_animal_fearanddisgust.jpg","1","NA","NA","2600","9999","undefined","undefined","3000.0227879936574","3000.0227879936574","black","yes","psycho","psycho","green","psycho","0","T_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","4","0","0","3","0","4","4","4","4","0","NA","4","0","4","NA","0","0","4","NA","NA","7","0","0","NA","0","9","0","1","7","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","4","0","4","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","28","27","Lentiform Loewenfeld","3.3.9b1","NA","15","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0227879936574","NA","NA","NA","455.0347249896731","3000.0227879936574","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","46868.11339999258","40676.60360899754","12946.29786600126","49619.87468399457","10599.490644002799","52642.723905999446","52643.01561200409","46885.269046993926","46868.04002599092","43701.11022698984","NA","55643.180667000706","7071.771942995838","55643.26543000061","NA","1384.248722999473","7071.747333990061","55643.28325299721","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.022787993657402694","TNT_IMDF_fMRI","0","3000.0227879936574","1","5","yes","1024"
"neu","TNT_scanner","NA","9999","cup01.jpg","neutral_195.jpg","1","NA","NA","2200","35","undefined","undefined","3000.019055994926","3000.019055994926","black","yes","psycho","psycho","red","psycho","0","NT_neu","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","5","0","0","4","0","5","5","5","5","0","NA","5","0","5","NA","0","0","5","NA","NA","8","0","0","NA","0","10","0","1","8","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","5","0","5","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","59","9999","58","Lentiform Loewenfeld","3.3.9b1","NA","34","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.019055994926","NA","NA","NA","455.0347249896731","3000.019055994926","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","55802.52588899748","40676.60360899754","12946.29786600126","58084.100877997116","10599.490644002799","61106.70568299247","61107.00802000065","55820.992958993884","55802.45525599457","43701.11022698984","NA","64107.16505500022","7071.771942995838","64107.23289499583","NA","1384.248722999473","7071.747333990061","64107.25003600237","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.019055994926020503","TNT_IMDF_fMRI","0","3000.019055994926","1","6","yes","1024"
"neu","TNT_scanner","NA","37","bottlecap.jpg","neutral_134.jpg","1","NA","NA","1400","9999","undefined","undefined","3000.0184499949683","3000.0184499949683","black","yes","psycho","psycho","red","psycho","0","NT_neu","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","6","0","0","5","0","6","6","6","6","0","NA","6","0","6","NA","0","0","6","NA","NA","9","0","0","NA","0","11","0","1","9","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","6","0","6","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","37","9999","12","Lentiform Loewenfeld","3.3.9b1","NA","12","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0184499949683","NA","NA","NA","455.0347249896731","3000.0184499949683","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","64256.83918000141","40676.60360899754","12946.29786600126","65745.98085100297","10599.490644002799","68768.89704300265","68769.17732899892","64274.76829999068","64256.75358599983","43701.11022698984","NA","71769.3378690019","7071.771942995838","71769.40579299117","NA","1384.248722999473","7071.747333990061","71769.4231630012","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.018449994968250394","TNT_IMDF_fMRI","0","3000.0184499949683","1","7","yes","1024"
"None","TNT_scanner","NA","","","","1","NA","NA","2600","","undefined","undefined","3000.0184499949683","3000.0184499949683","black","yes","psycho","psycho","None","psycho","0","NULL","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","7","1","0","5","0","7","7","7","7","1","NA","7","0","7","NA","0","0","7","NA","NA","10","0","0","NA","0","12","0","1","10","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","7","0","7","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","","","9999","Lentiform Loewenfeld","3.3.9b1","NA","","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","0","NA","NA","NA","455.0347249896731","3000.0184499949683","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","None","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","71928.34353299986","74572.08310600254","12946.29786600126","65745.98085100297","10599.490644002799","68768.89704300265","68769.17732899892","71946.76931700087","71928.26947999129","77601.30297399883","NA","77580.39618599287","7071.771942995838","80604.47103099432","NA","1384.248722999473","7071.747333990061","80604.49852100282","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","3000","TNT_IMDF_fMRI","0","3000.0184499949683","1","8","yes","1024"
"neg","TNT_scanner","NA","51","binoculars01b.jpg","Animals_221_hdisgustfear.jpg","1","NA","NA","1400","9999","undefined","undefined","3000.0383200094802","3000.0383200094802","black","yes","psycho","psycho","green","psycho","0","T_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","8","1","0","6","0","8","8","8","8","1","NA","8","0","8","NA","0","0","8","NA","NA","11","0","0","NA","0","13","0","1","11","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","8","0","8","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","27","26","Lentiform Loewenfeld","3.3.9b1","NA","14","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.0383200094802","NA","NA","NA","455.0347249896731","3000.0383200094802","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","80851.29913699348","74572.08310600254","12946.29786600126","82345.48257999995","10599.490644002799","85370.75776299753","85371.06538299122","80869.65222599974","80851.22690300341","77601.30297399883","NA","88371.241403991","7071.771942995838","88371.3346329896","NA","1384.248722999473","7071.747333990061","88371.35123400367","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.03832000948023051","TNT_IMDF_fMRI","0","3000.0383200094802","1","9","yes","1024"
"neg","TNT_scanner","NA","57","pictureframe04.jpg","9433_people-disgust.jpg","1","NA","NA","1400","9999","undefined","undefined","3000.026046996936","3000.026046996936","black","yes","psycho","psycho","red","psycho","0","NT_neg","uniform","undefined","undefined","undefined","undefined","undefined","0","0","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","9","1","0","7","0","9","9","9","9","1","NA","9","0","9","NA","0","0","9","NA","NA","12","0","0","NA","0","14","0","1","12","ma 12 apr 2021 21:02:04 CEST","A template containing a practice and an experimental phase","yes","","30","30","TNT_scanner","TNTF_fMRI.osexp","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files","no","","60","4","no","mono","no","20","no","white","no","no","768","NA","psycho","9","0","9","/home/lotje/Documents/Research, teaching and programming/OpenSesame/Scripts/Others/Claudius Schroeder/TNTF2021/experimental files/quickrun.csv","first","psycho","9999","33","32","Lentiform Loewenfeld","3.3.9b1","NA","20","34","1","yes","NA","0","one","None","NA","NA","NA","t","None","t","t","3000.026046996936","NA","NA","NA","455.0347249896731","3000.026046996936","151.53183000802528","3490.7899649988394","2","no","psycho","0.5","0.2","0.2","1","0.6","1024","2","48000","-16","experiment","-30","-30","999","odd","NT","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12945.84983799723","12946.26125099603","88535.57913900295","74572.08310600254","12946.29786600126","90018.76449400152","10599.490644002799","93041.80307999195","93042.17955299828","88554.06566799502","88535.50666899537","77601.30297399883","NA","96042.3498399905","7071.771942995838","96042.41795399867","NA","1384.248722999473","7071.747333990061","96042.43493599643","NA","NA","11073.356804001378","NA","1895.899772993289","NA","7071.784529995057","7090.283217999968","NA","2066.0837100003846","11073.133744997904","3000","-0.02604699693620205","TNT_IMDF_fMRI","0","3000.026046996936","1","10","yes","1024"
