condition,order,null_ID,neu_ID,neg_ID,TBR_ID,TBF_ID,Scene,Object,filler,repetition,exp_ID
TBRneu,1,1,9999,31,9999,31,neutral_001.jpg,10.jpg,no,one,IMDF_scanner
TBRneu,1,2,9999,32,9999,32,neutral_003.jpg,102.jpg,no,one,IMDF_scanner
TBRneu,1,3,9999,33,9999,33,neutral_057.jpg,106.jpg,no,one,IMDF_scanner
TBRneu,1,4,9999,34,9999,34,neutral_069.jpg,113.jpg,no,one,IMDF_scanner
TBRneu,1,5,9999,35,9999,35,neutral_073.jpg,116.jpg,no,one,IMDF_scanner
TBRneu,1,6,9999,36,9999,36,neutral_096.jpg,118.jpg,no,one,IMDF_scanner
TBRneu,1,7,9999,37,9999,37,neutral_394.jpg,121.jpg,no,one,IMDF_scanner
TBRneu,1,8,9999,38,9999,38,neutral_461.jpg,123.jpg,no,one,IMDF_scanner
TBRneu,1,9,9999,39,9999,39,neutral_504.jpg,130.jpg,no,one,IMDF_scanner
TBRneu,1,10,9999,40,9999,40,neutral_585.jpg,132.jpg,no,one,IMDF_scanner
TBRneu,1,11,9999,41,9999,41,neutral_119.jpg,138.jpg,no,one,IMDF_scanner
TBRneu,1,12,9999,42,9999,42,neutral_121.jpg,140.jpg,no,one,IMDF_scanner
TBRneu,1,13,9999,43,9999,43,neutral_125.jpg,145.jpg,no,one,IMDF_scanner
TBRneu,1,14,9999,44,9999,44,neutral_132.jpg,151.jpg,no,one,IMDF_scanner
TBRneu,1,15,9999,45,9999,45,neutral_171.jpg,152.jpg,no,one,IMDF_scanner
TBRneu,1,16,9999,46,9999,46,neutral_200.jpg,156.jpg,no,two,IMDF_scanner
TBRneu,1,17,9999,47,9999,47,neutral_370.jpg,159.jpg,no,two,IMDF_scanner
TBRneu,1,18,9999,48,9999,48,neutral_416.jpg,161.jpg,no,two,IMDF_scanner
TBRneu,1,19,9999,49,9999,49,neutral_422.jpg,166.jpg,no,two,IMDF_scanner
TBRneu,1,20,9999,50,9999,50,neutral_423.jpg,170.jpg,no,two,IMDF_scanner
TBRneu,1,21,9999,51,9999,51,neutral_290.jpg,173.jpg,no,two,IMDF_scanner
