Emotion,Scene,Object,Trial_ID
neg,Animals_007_h_disgustfear.jpg,comb02a.jpg,1
neu,neutral_222.jpg,feather03a.jpg,2
neg,Objects_328_hdisgust.jpg,boot02b.jpg,3
neu,neutral_227.jpg,chessboard.jpg,4
neu,neutral_022.jpg,pencilsharpener02a.jpg,5
neg,2900.1_people_crying.jpg,box01.jpg,6
neg,9050_people_accident.jpg,dice05a.jpg,7
neg,Faces_363_vsad.jpg,measuringtape01.jpg,8
neu,neutral_580.jpg,candle08b.jpg,9
neg,1304._animal_fear.jpg,crayon.jpg,10
neu,neutral_195.jpg,cup01.jpg,11
neu,neutral_017.jpg,hat03b.jpg,12
neg,Objects_006_hdisgust.jpg,towel02a.jpg,13
neu,neutral_100.jpg,drum.jpg,14
neg,9412_people_sad.jpg,book01b.jpg,15
neu,neutral_144.jpg,chair.jpg,16
neu,neutral_246.jpg,stackingrings01a.jpg,17
neg,People_033_hsad.jpg,cane.jpg,18
neu,neutral_007.jpg,shirt01.jpg,19
neg,6550_people_fear.jpg,plasticflower01a.jpg,20
neu,neutral_098.jpg,tuque03b.jpg,21
neg,Animals_041_hfeardisgust.jpg,hourglass.jpg,22
neg,People_140_hsad.jpg,wallet04.jpg,23
neu,neutral_058.jpg,handfan01b.jpg,24
neu,neutral_128.jpg,bow04.jpg,25
neg,9414_people_fighting.jpg,teabag.jpg,26
neu,neutral_192.jpg,negativefilm.jpg,27
neu,neutral_024.jpg,clothespin03b.jpg,28
neg,People_127_fearh.jpg,makeupbrush04.jpg,29
neg,9440_object_disgustandfear.jpg,glassmop.jpg,30
neg,2700._people_crying_sad.jpg,pillow02b.jpg,31
neg,People_201_vsadterror.jpg,globe.jpg,32
neu,neutral_374.jpg,rubberglove02b.jpg,33
neg,9290_object_disgsut.jpg,clipboard.jpg,34
neu,neutral_065.jpg,pylon.jpg,35
neu,neutral_390.jpg,toothbrush03b.jpg,36
neu,neutral_509.jpg,battery02b.jpg,37
neg,People_225_hdisgustsad.jpg,envelope03a.jpg,38
neu,neutral_226.jpg,ring01.jpg,39
neu,neutral_050.jpg,medal02b.jpg,40
neg,8480_people_fear.jpg,safetypin.jpg,41
neg,1201_animal_fearanddisgust.jpg,ruler05.jpg,42
neu,neutral_659.jpg,lock03a.jpg,43
neg,Objects_021_vdisgust.jpg,thimble.jpg,44
neu,neutral_107.jpg,baseball01a.jpg,45
neg,9421_people_sad.jpg,protractor.jpg,46
neu,neutral_614.jpg,birdie.jpg,47
neg,People_077_vfear.jpg,hanger02a.jpg,48
neu,neutral_247.jpg,lifejacket.jpg,49
neg,2703_people_cryingsad.jpg,bag.jpg,50
neu,neutral_706.jpg,fan.jpg,51
neu,neutral_064.jpg,tape02a.jpg,52
neg,Animals_221_hdisgustfear.jpg,binoculars01b.jpg,53
neg,Animals_008_v_disgust.jpg,spoon01.jpg,54
neg,2981_animal_disgust.jpg,mirror.jpg,55
neg,1033_animal_fearanddisgust.jpg,key01.jpg,56
neu,neutral_409.jpg,violin.jpg,57
neg,9940_object_fear.jpg,branch02.jpg,58
neu,neutral_582.jpg,hinge.jpg,59
neu,neutral_331.jpg,radio02.jpg,60
neu,neutral_293.jpg,belt02a.jpg,61
neg,Faces_368_hsaddisgust.jpg,seashell.jpg,62
neg,2811_object_fear.jpg,measuringcup01.jpg,63
neu,neutral_310.jpg,playingcard04.jpg,64
neg,6520_people_fear.jpg,calculator01.jpg,65
neu,neutral_380.jpg,watch02a.jpg,66
neg,People_001_hsadterror.jpg,stapler03a.jpg,67
neu,neutral_550.jpg,magnifyingglass01b.jpg,68
neg,9433_people-disgust.jpg,pictureframe04.jpg,69
neu,neutral_512.jpg,binder03b.jpg,70
neu,neutral_134.jpg,bottlecap.jpg,71
neg,9183_animal_disgustandsad.jpg,flashlight02b.jpg,72
