Emotion,Object,Scene,Trial_ID,distractor_scene_1,distractor_scene_2
neg,981.jpg,People_133_h.jpg,filler,6213.jpg,People_143_h.jpg
neu,950.jpg,neutral_261.jpg,filler,neutral_695.jpg,neutral_673.jpg
neg,332.jpg,Landscapes_025_h.jpg,48,Objects_003_h.jpg,Faces_272_h.jpg
neg,916.jpg,9423.jpg,114,Animals_018_h.jpg,9425.jpg
neg,376.jpg,6211.jpg,54,6300.jpg,People_058_h.jpg
neu,460.jpg,neutral_591.jpg,68,neutral_667.jpg,neutral_063.jpg
neu,161.jpg,neutral_416.jpg,18,neutral_121.jpg,neutral_145.jpg
neg,947.jpg,Objects_001_h.jpg,120,Objects_206_h.jpg,Objects_003_h.jpg
neg,87.jpg,Faces_028_h.jpg,104,Objects_011_h.jpg,H044.bmp
neu,731.jpg,neutral_244.jpg,90,neutral_001.jpg,neutral_242.jpg
neu,196.jpg,neutral_067.jpg,24,neutral_060.jpg,neutral_671.jpg
neg,82.jpg,People_217_h.jpg,99,People_223_h.jpg,1930.jpg
neu,140.jpg,neutral_121.jpg,12,neutral_171.jpg,neutral_614.jpg
neg,76.jpg,Landscapes_007_h.jpg,93,9424.jpg,People_217_h.jpg
neg,373.jpg,6210.jpg,53,Animals_073_h.jpg,Animals_062_h.jpg
neu,138.jpg,neutral_119.jpg,11,neutral_224.jpg,neutral_568.jpg
neu,435.jpg,neutral_188.jpg,63,neutral_131.jpg,neutral_057.jpg
neg,321.jpg,Faces_302_h.jpg,47,Animals_025_h.jpg,6312.jpg
neu,202.jpg,neutral_667.jpg,27,neutral_069.jpg,neutral_290.jpg
neg,845.jpg,Animals_013_h.jpg,101,People_217_h.jpg,6370.jpg
neg,372.jpg,2692.jpg,52,Faces_041_h.jpg,Animals_025_h.jpg
neu,234.jpg,neutral_382.jpg,29,neutral_422.jpg,neutral_270.jpg
neu,123.jpg,neutral_461.jpg,8,neutral_132.jpg,neutral_001.jpg
neg,90.jpg,6555.jpg,112,Faces_007_h.jpg,Objects_145_h.jpg
neg,317.jpg,Faces_034_h.jpg,45,Animals_060_h.jpg,6211.jpg
neu,47.jpg,neutral_671.jpg,70,neutral_416.jpg,neutral_130.jpg
neg,257.jpg,Objects_007_h.jpg,34,6312.jpg,People_233_h.jpg
neg,391.jpg,blood_034.jpg,57,People_233_h.jpg,Objects_022_h.jpg
neu,118.jpg,neutral_096.jpg,6,neutral_125.jpg,neutral_382.jpg
neu,6.jpg,neutral_193.jpg,83,neutral_671.jpg,neutral_461.jpg
neu,952.jpg,neutral_673.jpg,filler,neutral_261.jpg,neutral_707.jpg
neg,307.jpg,Animals_001_h.jpg,41,6555.jpg,Faces_034_h.jpg
neu,45.jpg,neutral_270.jpg,65,neutral_497.jpg,neutral_394.jpg
