Emotion,Object,Scene,Set_ID,TBF_ID,TBR_ID,color,condition,exp_ID,filler,neg_ID,neu_ID,null_ID,order,pp_ID,remember_condition,repetition,trial_count
neu,neutral_707.jpg,975.jpg,,9999,92,None,TBFneuFILLER,IMDF_scanner,yes,94,9999,126,5,1,TBF,9999,1
neg,6213.jpg,987.jpg,,9999,94,green,TBFnegFILLER,IMDF_scanner,yes,9999,94,128,5,1,TBR,9999,2
neg,Animals_062_h.jpg,246.jpg,1,62,9999,None,TBF_neg,IMDF_scanner,no,9999,32,32,2,1,TBF,one,3
neu,neutral_499.jpg,49.jpg,1,9999,43,None,TBF_neu,IMDF_scanner,no,73,9999,73,3,1,TBF,one,4
neu,neutral_531.jpg,50.jpg,1,9999,44,None,TBF_neu,IMDF_scanner,no,74,9999,74,3,1,TBF,one,5
neu,neutral_224.jpg,24.jpg,1,60,9999,green,TBR_neu,IMDF_scanner,no,60,9999,30,1,1,TBR,two,6
neg,6312.jpg,382.jpg,1,86,9999,green,TBR_neg,IMDF_scanner,no,9999,56,56,2,1,TBR,two,7
neg,Faces_019_h.jpg,316.jpg,1,74,9999,None,TBF_neg,IMDF_scanner,no,9999,44,44,2,1,TBF,one,8
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,9
neu,neutral_188.jpg,435.jpg,1,9999,33,green,TBR_neu,IMDF_scanner,no,63,9999,63,3,1,TBR,one,10
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,11
neu,neutral_423.jpg,170.jpg,1,50,9999,None,TBF_neu,IMDF_scanner,no,50,9999,20,1,1,TBF,two,12
neg,People_233_h.jpg,836.jpg,1,9999,70,green,TBR_neg,IMDF_scanner,no,9999,70,100,4,1,TBR,one,13
neu,neutral_638.jpg,461.jpg,1,9999,39,green,TBR_neu,IMDF_scanner,no,69,9999,69,3,1,TBR,one,14
neu,neutral_198.jpg,200.jpg,1,56,9999,None,TBF_neu,IMDF_scanner,no,56,9999,26,1,1,TBF,two,15
neu,neutral_422.jpg,166.jpg,1,49,9999,green,TBR_neu,IMDF_scanner,no,49,9999,19,1,1,TBR,two,16
neg,Faces_272_h.jpg,932.jpg,1,9999,88,None,TBF_neg,IMDF_scanner,no,9999,88,118,4,1,TBF,two,17
neg,9630.jpg,409.jpg,1,90,9999,green,TBR_neg,IMDF_scanner,no,9999,60,60,2,1,TBR,two,18
neu,neutral_382.jpg,234.jpg,1,59,9999,green,TBR_neu,IMDF_scanner,no,59,9999,29,1,1,TBR,two,19
neu,neutral_244.jpg,731.jpg,1,9999,60,green,TBR_neu,IMDF_scanner,no,90,9999,90,3,1,TBR,two,20
neg,Faces_007_h.jpg,86.jpg,1,9999,73,None,TBF_neg,IMDF_scanner,no,9999,73,103,4,1,TBF,one,21
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,22
neu,neutral_001.jpg,10.jpg,1,31,9999,green,TBR_neu,IMDF_scanner,no,31,9999,1,1,1,TBR,one,23
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,24
neu,neutral_223.jpg,20.jpg,1,55,9999,None,TBF_neu,IMDF_scanner,no,55,9999,25,1,1,TBF,two,25
neg,2692.jpg,372.jpg,1,82,9999,green,TBR_neg,IMDF_scanner,no,9999,52,52,2,1,TBR,two,26
neu,neutral_394.jpg,121.jpg,1,37,9999,None,TBF_neu,IMDF_scanner,no,37,9999,7,1,1,TBF,one,27
neg,Faces_172_h.jpg,32.jpg,1,76,9999,green,TBR_neg,IMDF_scanner,no,9999,46,46,2,1,TBR,two,28
neu,neutral_240.jpg,72.jpg,1,9999,58,green,TBR_neu,IMDF_scanner,no,88,9999,88,3,1,TBR,two,29
neg,Objects_022_h.jpg,779.jpg,1,9999,65,None,TBF_neg,IMDF_scanner,no,9999,65,95,4,1,TBF,one,30
neu,neutral_145.jpg,553.jpg,1,9999,51,None,TBF_neu,IMDF_scanner,no,81,9999,81,3,1,TBF,two,31
neg,People_223_h.jpg,305.jpg,1,70,9999,None,TBF_neg,IMDF_scanner,no,9999,40,40,2,1,TBF,one,32
neg,Animals_073_h.jpg,926.jpg,1,9999,87,green,TBR_neg,IMDF_scanner,no,9999,87,117,4,1,TBR,two,33
neu,neutral_532.jpg,506.jpg,1,9999,45,None,TBF_neu,IMDF_scanner,no,75,9999,75,3,1,TBF,one,34
neg,Faces_283_h.jpg,877.jpg,1,9999,76,green,TBR_neg,IMDF_scanner,no,9999,76,106,4,1,TBR,two,35
neu,neutral_069.jpg,113.jpg,1,34,9999,green,TBR_neu,IMDF_scanner,no,34,9999,4,1,1,TBR,one,36
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,37
neg,Faces_041_h.jpg,870.jpg,1,9999,75,None,TBF_neg,IMDF_scanner,no,9999,75,105,4,1,TBF,one,38
None,,,1,,,None,NULL,IMDF_scanner,,,,9999,,1,None,,39
neg,People_058_h.jpg,809.jpg,1,9999,68,green,TBR_neg,IMDF_scanner,no,9999,68,98,4,1,TBR,one,40
neg,People_217_h.jpg,82.jpg,1,9999,69,green,TBR_neg,IMDF_scanner,no,9999,69,99,4,1,TBR,one,41
neg,Objects_003_h.jpg,895.jpg,1,9999,78,green,TBR_neg,IMDF_scanner,no,9999,78,108,4,1,TBR,two,42
neu,neutral_131.jpg,421.jpg,1,9999,32,None,TBF_neu,IMDF_scanner,no,62,9999,62,3,1,TBF,one,43
